"DateTime","Net APY","Supply APY","Borrow APY","Staking APY"
"2024-10-01 08:00:00",0.049647871925369985,0.0007636111221712331,0.18392518661424903,0.23280944741744777
"2024-10-01 09:00:00",0.04957192066443261,0.0007638101780697354,0.1840062082195122,0.23281431870587507
"2024-10-01 10:00:00",0.049478162744039794,0.000763845070865941,0.18410487548593024,0.2328191931591041
"2024-10-01 11:00:00",0.04958279157503534,0.000763868382535449,0.18400737533953,0.23282629853202988
"2024-10-01 12:00:00",0.052938778339453985,0.0007636091422926736,0.1837297231719048,0.23590489236906612
"2024-10-01 13:00:00",0.05494682825492167,0.000763447224412078,0.18363744066494286,0.23782082169545246
"2024-10-01 14:00:00",0.05491262167150124,0.0007625990431801234,0.1836757622139901,0.2378257848423112
"2024-10-01 15:00:00",0.05468517610997714,0.0007612020580025636,0.1839067608550066,0.23783073490698117
"2024-10-01 16:00:00",0.05483840738220319,0.0007620370767493803,0.18375932121425861,0.23783569151971243
"2024-10-01 17:00:00",0.055064791218996295,0.0007621440234159916,0.18353798970229482,0.23784063689787513
"2024-10-01 18:00:00",0.05518919413992432,0.0007621794232202086,0.18341858398647445,0.23784559870317856
"2024-10-01 19:00:00",0.033631281772898036,0.0007660367509591816,0.20498533875891606,0.2378505837808549
"2024-10-01 20:00:00",-0.1300807664540244,0.0007735607856414689,0.36871300515023525,0.23785867791056942
"2024-10-01 21:00:00",-0.1051674218229458,0.0007725099501629221,0.34380817332090136,0.23786824154779262
"2024-10-01 22:00:00",-0.10839779382968862,0.0007754665234167194,0.3470507184166086,0.2378774580635033
"2024-10-01 23:00:00",-0.06311726356462638,0.0007786363052352633,0.3017826278375857,0.23788672796772403
"2024-10-02 00:00:00",0.05422593993996791,0.0007797280040512659,0.18444654310883093,0.23789275504474758
"2024-10-02 01:00:00",0.054442918225930476,0.0007795312351068417,0.18423435587632475,0.23789774286714838
"2024-10-02 02:00:00",0.05465659850526672,0.0007793184756384614,0.18402544497013107,0.2379027249997593
"2024-10-02 03:00:00",0.05473473941810361,0.0007795776275247845,0.18395254190286806,0.23790770369344688
"2024-10-02 04:00:00",0.05482334732786262,0.0007785976217127904,0.18386793028287904,0.23791267998902887
"2024-10-02 05:00:00",0.054861348456584025,0.0007891114916660851,0.1838454183953539,0.23791765536027185
"2024-10-02 06:00:00",0.054434402274902455,0.0007940955567663535,0.18428232474673625,0.23792263146487236
"2024-10-02 07:00:00",0.05351330066560883,0.0007941830143705558,0.18520848080827484,0.2379275984595131
"2024-10-02 08:00:00",0.0535339108648521,0.0007942942189031373,0.18519295903343955,0.2379325756793885
"2024-10-02 09:00:00",0.05353464986924772,0.0007942690582706926,0.18519720643758097,0.237937587248558
"2024-10-02 10:00:00",0.05361429794188652,0.0007942289012891723,0.1851225316375467,0.23794260067814405
"2024-10-02 11:00:00",0.053645380654197494,0.000788020643872046,0.18509024663014007,0.23794760664046552
"2024-10-02 12:00:00",0.055239343458416884,0.0007781347896660306,0.18510825881860776,0.2395694674873586
"2024-10-02 13:00:00",0.05430384058321988,0.0007779278322275202,0.1872843070162901,0.24081021976728245
"2024-10-02 14:00:00",0.031194344444203798,0.0007739366166370326,0.2103953902268503,0.24081579805441708
"2024-10-02 15:00:00",0.05622303892395761,0.0007727223156454076,0.18537079411165913,0.24082111071997134
"2024-10-02 16:00:00",0.0562379412877107,0.0007683716507478991,0.18535661745583695,0.24082618709279976
"2024-10-02 17:00:00",0.0562793655763735,0.0007681362481308778,0.18532003506684608,0.2408312643950887
"2024-10-02 18:00:00",0.05643996949909208,0.0007681524326094597,0.18516452159563868,0.24083633866212129
"2024-10-02 19:00:00",0.0564442804369035,0.0007681318602631741,0.1851652616560559,0.24084141023269623
"2024-10-02 20:00:00",0.056262868052727455,0.0007679878372171001,0.18535160693576844,0.2408464871512788
"2024-10-02 21:00:00",0.05641879790984536,0.0007679427795625161,0.18520070448342071,0.24085155961370355
"2024-10-02 22:00:00",0.05638622649174349,0.0007680566387637633,0.1852384653959621,0.24085663524894182
"2024-10-02 23:00:00",0.05638214397700783,0.000767952841075879,0.18524751783183835,0.2408617089677703
"2024-10-03 00:00:00",0.0562784246236383,0.0007678381839942819,0.1853561999463681,0.2408667863860121
"2024-10-03 01:00:00",0.056390243952570945,0.0007678844928488208,0.18524950456872186,0.240871864028444
"2024-10-03 02:00:00",0.05646558688299183,0.0007679165918660309,0.1851792675213502,0.240876937812476
"2024-10-03 03:00:00",0.05658971591450218,0.0007679396327906075,0.1850602337951356,0.24088201007684715
